Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
100nF,C_SW1,C_0402_1005Metric,C1525,1,OK,C1525,base,46025856,CL05B104KO5NNNC,0402,0.0054
100Ω,"R_S1,R_S2,R_S3,R_S4",R_0402_1005Metric,C25076,4,OK,C25076,base,3618037,0402WGF1000TCE,0402,0.0107
10kΩ,"R_PD1,R_PD2,R_PD3,R_PD4",R_0402_1005Metric,C60490,4,OK,C60490,expand,8689167,RC0402FR-0710KL,0402,0.0058
1uF,C_SW2,C_0603_1608Metric,C15849,1,OK,C15849,base,14259209,CL10A105KB8NNNC,0603,0.0154
220Ω,"R_T1,R_T2",R_0402_1005Metric,C25091,2,OK,C25091,base,1704119,0402WGF2200TCE,0402,0.0067
4.7uF,C_BULK,C_0805_2012Metric,C1779,1,OK,C1779,base,3544439,CL21A475KAQNNNE,0805,0.0454
680Ω,R_LED,R_0402_1005Metric,C137948,1,OK,C137948,expand,744354,RC0402FR-07680RL,0402,0.0054
BLM21SP601SN1D,FB_3V3,L_0805_2012Metric,C3716677,1,OK,C3716677,expand,5838,BLM21SP601SN1D,0805,0.2619
KH-SMA-KE-Z,"J_ANT1,J_ANT2,J_ANT3,J_ANT4,J_ANT5,J_ANT6,J_ANT7,J_ANT8,J_RX1,J_RX2",SMA_Vertical_5.08sq_D1.4,C504007,10,OK,C504007,expand,22674,KH-SMA-KE-Z,Plugin,0.4712
KT-0603R,LED_ST,LED_0603_1608Metric,C2286,1,OK,C2286,base,7307915,KT-0603R,0603,0.0074
PE42482A-X,U_SW,QFN-24_4x4_P0.5_EP2.7_PE42482,C5121458,1,OK,C5121458,expand,1284,PE42482A-X,QFN-24,6.0881
