Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
100kΩ,"R_SWAP1,R_SWAP2,R_SWAP3,R_SWAP4,R_SWAP5,R_SWAP6,R_SWAP7,R_VBUS_BOT,R_VBUS_TOP",R_0402_1005Metric,C60491,9,OK,C60491,expand,6502499,RC0402FR-07100KL,YAGEO,0402,0.0044
100nF,"C_AGG_IN,C_AND_DATA,C_AND_PWR,C_BST,C_CTRL_VDD,C_DATA1,C_DATA2,C_DATA3,C_DATA4,C_EXP_VDD,C_HUB_A1,C_HUB_A2,C_HUB_A3,C_HUB_A4,C_HUB_CR_HF,C_HUB_DD,C_HUB_PLL,C_PORT1_HF,C_PORT2_HF,C_PORT3_HF,C_PORT4_HF,C_PWR1_IN,C_PWR2_IN,C_PWR3_IN,C_PWR4_IN,C_PWR_CTRL_IN,C_PWR_CTRL_OUT_HF,C_TRUNK_HF",C_0402_1005Metric,C1525,28,OK,C1525,base,38823094,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,0.0054
10kΩ,R_AGG_UV_MID,R_0603_1608Metric,C25804,1,OK,C25804,base,7706207,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0084
10kΩ,"R_BOOST0,R_BOOST1,R_CFG0,R_CFG1,R_CFG2,R_CTRL_RESET,R_DATA_CMD1,R_DATA_CMD2,R_DATA_CMD3,R_DATA_CMD4,R_DATA_OE1,R_DATA_OE2,R_DATA_OE3,R_DATA_OE4,R_DATA_OK1,R_DATA_OK2,R_DATA_OK3,R_DATA_OK4,R_DIS6N,R_DIS6P,R_DIS7N,R_DIS7P,R_EXP_RESET,R_GANG,R_HUB_RESET,R_NONREM0,R_NONREM1,R_PWR_CMD1,R_PWR_CMD2,R_PWR_CMD3,R_PWR_CMD4,R_PWR_EN1,R_PWR_EN2,R_PWR_EN3,R_PWR_EN4",R_0402_1005Metric,C60490,35,OK,C60490,expand,10100944,RC0402FR-0710KL,YAGEO,0402,0.0037
10uF,C_BUCK_IN,C_0603_1608Metric,C19702,1,OK,C19702,base,14722167,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,0.0387
12kΩ,R_RBIAS,R_0402_1005Metric,C114760,1,OK,C114760,expand,1180180,RC0402FR-0712KL,YAGEO,0402,0.0053
150kΩ,R_AGG_UV_TOP,R_0603_1608Metric,C22807,1,OK,C22807,base,1127149,0603WAF1503T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0068
165kΩ,"R_ILIM1,R_ILIM2,R_ILIM3,R_ILIM4,R_ILIM_CTRL",R_0402_1005Metric,C327368,5,OK,C327368,expand,4967,RC0402FR-07165KL,YAGEO,0402,0.001
180uF,C_TRUNK_USB,CP_Elec_6.3x5.8,C136277,1,OK,C136277,expand,889,16SVPF180M,PANASONIC,"SMD,D6.3xL5.9mm",1.2637
18pF,"C_XTAL1,C_XTAL2",C_0402_1005Metric,C1549,2,OK,C1549,base,1336339,0402CG180J500NT,FH (Guangdong Fenghua Advanced Tech),0402,0.0045
