Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
8A 36V power module,U1,B3QFN-22,C7125816,1,OK,C7125816,expand,203,TPSM63610RDFR,B3QFN-22(6.5x7.5),16.0236
4A 36V power module,U2,B3QFN-20,C5219289,1,OK,C5219289,expand,54,TPSM63604RDLR,B3QFN-20(5x5.5),13.6129
USB-C source controller,U3,WQFN-20,C473913,1,OK,C473913,expand,307,TPS25810RVCR,WQFN-20-EP(3x4),0.6407
USB-A current-limited switch,"U4,U5,U6",VSON-8,C130056,3,OK,C130056,expand,2875,TPS2557DRBR,SON-8(3x3),1.241
Dual USB-A charging signature controller,"U7,U8",SOT-23-6,C473910,2,OK,C473910,expand,60,TPS2513ADBVR,SOT-23-6,0.3139
USB data-line ESD array,"D2,D3,D4",SOT-23-6,C7519,3,OK,C7519,expand,27049,USBLC6-2SC6,SOT-23-6L,0.1814
P-channel reverse-polarity MOSFET,Q1,DFN-8,C2760089,1,OK,C2760089,expand,2248,AON6403,DFN-8(5x6),0.9902
12V MOSFET gate clamp,D5,SOD-123,C173429,1,OK,C173429,expand,366214,BZT52C12,SOD-123,0.0161
15V input TVS,D1,SMB,C83846,1,OK,C83846,expand,31854,SMBJ15A,DO-214AA,0.1303
100uF 35V input damping capacitor,C1,SMD-D8x10.2,C128462,1,OK,C128462,expand,2112,EEEFK1V101P,"SMD,D8xL10.2mm",0.39
USB-C receptacle,J5,USB-C-16P,C5337088,1,OK,C5337088,expand,1662,TYPE-C-31-M-12A,SMD,0.2371
3A USB-A receptacle,"J2,J3,J4",USB-A-THT,C5815149,3,OK,C5815149,expand,143,USB1130-15-A,Plugin,1.0824
XT60 input,J1,XT60PW-M,C98732,1,OK,C98732,expand,8155,XT60PW-M,-,0.597
Mini blade fuse holder,F1,Keystone-3568,C5249699,1,OK,C5249699,expand,233,3568,Plugin,1.5047
Master slide switch,SW1,SS-12D07,C2939728,1,OK,C2939728,expand,52854,SS12D07VG6 087,"插件,8.7x4.4mm",0.042
