F-ECHO — JLC's RESOLVED BOM vs OURS. After uploading bom_jlc.csv,
save JLC's own resolved/matched part table out of their UI and run
  bom_legibility_check.py <this outdir>/bom_jlc.csv --echo SAVED.csv
A code JLC redirects is a SUBSTITUTION and is a FINDING, not a
convenience. C82317 -> C131025 happened on a shipped board and no
gate in this repo could have seen it.

C21189	0Ω	R10,R18,R19,R27,R9
C5126242	1.21kΩ	R13,R4
C25803	100kΩ	R1,R17,R30,R8
C14663	100nF	C13,C28,C33,C34,C35,C36,C37,C41,C42,C43
C14858	100pF	C20,C5
C84455	100uF	C14,C15,C16,C17,C29,C30,C31,C32
C60490	10kΩ	R28,R29
C127692	10mΩ	RS1,RS2
C57112	10nF	C21,C6
C77100	10uF	C49,C50
C77102	10uF	C10,C11,C12,C24,C25,C26,C27,C9
C22865	12.4kΩ	R11,R2
C25757	160kΩ	R42
C25810	18kΩ	R14,R5
C2128	1N4148WS	D3,D4
C62774	1nF	C53,C54
C15849	1uF	C22,C23,C7,C8
C137327	2.2Ω	R34,R35
C29277	22uF	C38,C39,C40
C1613	3.3nF	C19,C4
C728591	3.92kΩ	R3
C1664	330pF	C18,C3
C5249699	3568	F1
C2930095	36.5kΩ	R20,R21,R22
C2984354	4.12kΩ	R12
C23184	49.9kΩ	R15,R6
C23215	6.98kΩ	R16,R37,R38,R39,R40,R41,R7
C404363	AON6354	Q2,Q3,Q4,Q5
C2760089	AON6403	Q1,Q6
C78284	BSS138	Q7,Q8
C173429	BZT52C12	D2
C503996	KH-AF90DIP-112	J2,J3,J4
C2982822	KNM2100UF35V149EC0055	C1,C2
C2297	KT-0805G	D10,D11,D12,D9
C2296	KT-0805Y	D8
C13755	LM5116MHX/NOPB	U11,U2
C408523	MWSA1206S-6R8MT	L1,L2
C83846	SMBJ15A	D1
C113976	SMBJ6.0A	D5
C6165170	SMD2920-700/16N	F2
C2939728	SS12D07VG6-087	SW1
C473910	TPS2513ADBVR	U6,U7
C130056	TPS2557DRBR	U3,U4,U5
C5337088	TYPE-C-31-M-12A	J5
C7519	USBLC6-2SC6	U10,U12,U8,U9
C98732	XT60PW-M	J1
