Comment,Designator,Footprint,LCSC
33R 0603 5%,X1,R_0603,
100R 0603 1%,X2,R_0603,
330R 0603 5%,X3,R_0603,
1k 0603 1%,X4,R_0603,
2.2k 0603 5%,X5,R_0603,
3.3k 0603 5%,X6,R_0603,
4.7k 0603 5%,X7,R_0603,
10k 0603 1%,X8,R_0603,
47k 0603 5%,X9,R_0603,
100k 0603 5%,X10,R_0603,
390k 0603 1%,X11,R_0603,
100nF 0603 X7R 50V,X12,C_0603,
10nF 0603 X7R 50V,X13,C_0603,
1uF 0603 X7R 25V,X14,C_0603,
10uF 0805 X5R 25V,X15,C_0805,
22uF 0805 X5R 25V,X16,C_0805,
pin header 2.54 1x3,X17,PinHeader_1x03,
pin header 2.54 1x2,X18,PinHeader_1x02,
pin header 2.54 1x6,X19,PinHeader_1x06,
