F-ECHO — JLC's RESOLVED BOM vs OURS. After uploading bom.csv,
save JLC's own resolved/matched part table out of their UI and run
  bom_legibility_check.py <this outdir>/bom.csv --echo SAVED.csv
A code JLC redirects is a SUBSTITUTION and is a FINDING, not a
convenience. C82317 -> C131025 happened on a shipped board and no
gate in this repo could have seen it.

C21189	0Ω	R3,R9
C25803	100kΩ	R1,R13,R15,R17,R19,R21,R22,R23,R7
C844888	100kΩ	R14
C1525	100nF	C12,C14,C15,C16,C20,C21
C2919856	100uF	C22
C95204	10kΩ	R6
C39232	10uF	C13
C77102	10uF	C2,C3,C4,C5
C22797	13kΩ	R10
C22880	15.8kΩ	R4
C3817933	1715022	J1
C136277	180uF	C23
C22935	1MΩ	R2
C110776	1kΩ	R12
C4184	20kΩ	R8
C478880	210Ω	R26
C342660	22uF	C10,C11,C24,C25,C26,C6,C7,C8,C9
C861251	24.3Ω	R24
C77036	3.3nF	C30
C5249699	3568	F1
C88744	35TZV100M6.3X8	C1
C861436	4.12kΩ	R11
C855851	41.2kΩ	R5
C861404	43.2kΩ	R16,R18,R20
C5451690	47nF	C29
C124196	BZT52C12-7-F	D5
C264098	DMP3013SFV-7	Q1
C264054	EEEFK1A151P	C17,C18,C19
C273394	EG1218	SW1
C83846	SMBJ15A	D1
C97502	TPD2EUSB30DRTR	D6
C473910	TPS2513ADBVR	U7,U8
C206199	TPS2559DRCR	U4,U5,U6
C473913	TPS25810RVCR	U3
C2155765	TPS259827ONRGET	U9
C5219289	TPSM63604RDLR	U2
C7125816	TPSM63610RDFR	U1
C5815149	USB1130-15-A	J2,J3,J4
C3020560	USB4105-GF-A	J5
C7519	USBLC6-2SC6	D2,D3,D4
