Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
0Ω,"R3,R9",R_0603_1608Metric,C21189,2,OK,C21189,base,17905660,0603WAF0000T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0039
100kΩ,"R1,R13,R15,R17,R19,R21,R22,R23,R7",R_0603_1608Metric,C25803,9,OK,C25803,base,22803339,0603WAF1003T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0067
100kΩ,R14,R_0603_1608Metric,C844888,1,OK,C844888,expand,32958,TNPW0603100KBEEA,Vishay Intertech,0603,0.0824
100nF,"C12,C14,C15,C16,C20,C21",C_0402_1005Metric,C1525,6,OK,C1525,base,40819544,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,0.0054
100uF,C22,CP_Elec_6.3x5.8,C2919856,1,OK,C2919856,expand,436,160AV5K101M0606C,APAQ Tech,"SMD,D6.3xL5.8mm",0.1533
10kΩ,R6,R_0603_1608Metric,C95204,1,OK,C95204,expand,1249215,RT0603BRD0710KL,YAGEO,0603,0.0331
10uF,C13,C_1210_3225Metric,C39232,1,OK,C39232,expand,121428,CL32B106KAJNNNE,Samsung Electro-Mechanics,1210,0.13
10uF,"C2,C3,C4,C5",C_1210_3225Metric,C77102,4,OK,C77102,expand,116857,GRM32ER71H106KA12L,Murata Electronics,1210,0.3738
13kΩ,R10,R_0603_1608Metric,C22797,1,OK,C22797,base,607622,0603WAF1302T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0055
15.8kΩ,R4,R_0603_1608Metric,C22880,1,OK,C22880,expand,52694,0603WAF1582T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0036
1715022,J1,Phoenix_MKDS_1.5_2_1715022,C3817933,1,OK,C3817933,expand,780,1715022,Phoenix Contact,"Plugin,P=5mm",0.5146
180uF,C23,CP_Elec_6.3x5.8,C136277,1,OK,C136277,expand,1052,16SVPF180M,PANASONIC,"SMD,D6.3xL5.9mm",1.2637
1MΩ,R2,R_0603_1608Metric,C22935,1,OK,C22935,base,5049596,0603WAF1004T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0099
1kΩ,R12,R_0603_1608Metric,C110776,1,OK,C110776,expand,982952,RT0603BRD071KL,YAGEO,0603,0.0326
20kΩ,R8,R_0603_1608Metric,C4184,1,OK,C4184,base,4171177,0603WAF2002T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0051
210Ω,R26,R_0603_1608Metric,C478880,1,OK,C478880,expand,444,PTFR0603B210RP9,RESI,0603,0.0988
22uF,"C10,C11,C24,C25,C26,C6,C7,C8,C9",C_1210_3225Metric,C342660,9,OK,C342660,expand,3075,C3225X7R1C226KT000N,TDK,1210,0.4049
24.3Ω,R24,R_0603_1608Metric,C861251,1,OK,C861251,expand,4989,RT0603BRD0724R3L,YAGEO,0603,0.0248
3.3nF,C30,C_0603_1608Metric,C77036,1,OK,C77036,expand,66476,GRM1885C1H332JA01D,Murata Electronics,0603,0.0499
3568,F1,Keystone_3568_Mini_Blade_Fuse_Holder,C5249699,1,OK,C5249699,expand,208,3568,Keystone,Plugin,1.5048
35TZV100M6.3X8,C1,Rubycon_TZV_D6.3x8,C88744,1,OK,C88744,expand,59415,35TZV100M6.3X8,Rubycon,"SMD,D6.3xL8mm",0.1311
4.12kΩ,R11,R_0603_1608Metric,C861436,1,OK,C861436,expand,4678,RT0603BRD074K12L,YAGEO,0603,0.035
41.2kΩ,R5,R_0603_1608Metric,C855851,1,OK,C855851,expand,3923,AT0603BRD0741K2L,YAGEO,0603,0.0675
43.2kΩ,"R16,R18,R20",R_0603_1608Metric,C861404,3,OK,C861404,expand,4936,RT0603BRD0743K2L,YAGEO,0603,0.0356
47nF,C29,C_1206_3216Metric,C5451690,1,OK,C5451690,expand,217,C1206N473J050T,"IHHEC(HOLY STONE ENTERPRISE CO., LTD)",1206,0.1831
BZT52C12-7-F,D5,D_SOD-123,C124196,1,OK,C124196,expand,18723,BZT52C12-7-F,Diodes Incorporated,SOD-123,0.0568
DMP3013SFV-7,Q1,Diodes_PowerDI3333-8_Type_UX,C264098,1,OK,C264098,expand,612,DMP3013SFV-7,Diodes Incorporated,PowerDI3333-8,2.2152
EEEFK1A151P,"C17,C18,C19",CP_Elec_6.3x5.8,C264054,3,OK,C264054,expand,1796,EEEFK1A151P,PANASONIC,"SMD,D6.3xL5.8mm",0.1843
EG1218,SW1,E_Switch_EG1218,C273394,1,OK,C273394,expand,433,EG1218,E-Switch,Plugin,1.5
