Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,manufacturer,pkg,price
0466003.NRHF,F_PD,Fuse_1206_3216Metric,C14165,1,OK,C14165,expand,33561,0466003.NRHF,Littelfuse,1206,0.0745
100kΩ,"R_SWAP1,R_SWAP2,R_SWAP3,R_SWAP4,R_SWAP5,R_SWAP6,R_SWAP7,R_VBUS_BOT",R_0402_1005Metric,C25741,8,OK,C25741,base,13842815,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0049
100nF,C_PD_IN_HF,C_0402_1005Metric,C131394,1,OK,C131394,expand,7736800,CC0402KRX7R9BB104,YAGEO,0402,0.0114
100nF,"C_AGG_IN,C_AND_DATA,C_AND_PWR,C_BST,C_CTRL_VDD,C_DATA1,C_DATA2,C_DATA3,C_DATA4,C_EXP_VDD,C_HUB_A1,C_HUB_A2,C_HUB_A3,C_HUB_A4,C_HUB_CR_HF,C_HUB_DD,C_HUB_PLL,C_PD_BOOT,C_PORT1_HF,C_PORT2_HF,C_PORT3_HF,C_PORT4_HF,C_PWR1_IN,C_PWR2_IN,C_PWR3_IN,C_PWR4_IN,C_PWR_CTRL_IN,C_PWR_CTRL_OUT_HF,C_TRUNK_HF",C_0402_1005Metric,C60474,29,OK,C60474,expand,7068287,CC0402KRX7R7BB104,YAGEO,0402,0.0056
100pF,C_PD_FF,C_0402_1005Metric,C1546,1,OK,C1546,base,5411283,0402CG101J500NT,FH (Guangdong Fenghua Advanced Tech),0402,0.0055
10kΩ,R_PD_FB_BOT,R_0402_1005Metric,C190095,1,OK,C190095,expand,498733,RT0402BRD0710KL,YAGEO,0402,0.0271
10kΩ,"R_BOOST0,R_BOOST1,R_CFG0,R_CFG1,R_CFG2,R_CTRL_RESET,R_DATA_CMD1,R_DATA_CMD2,R_DATA_CMD3,R_DATA_CMD4,R_DATA_OE1,R_DATA_OE2,R_DATA_OE3,R_DATA_OE4,R_DATA_OK1,R_DATA_OK2,R_DATA_OK3,R_DATA_OK4,R_DIS6N,R_DIS6P,R_DIS7N,R_DIS7P,R_EXP_RESET,R_GANG,R_HUB_RESET,R_NONREM0,R_NONREM1,R_PD_VBUS,R_PWR_CMD1,R_PWR_CMD2,R_PWR_CMD3,R_PWR_CMD4,R_PWR_EN1,R_PWR_EN2,R_PWR_EN3,R_PWR_EN4",R_0402_1005Metric,C25744,36,OK,C25744,base,5104814,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0019
10kΩ,R_AGG_UV_MID,R_0603_1608Metric,C25804,1,OK,C25804,base,6799041,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),0603,0.0084
10uF,C_BUCK_IN,C_0603_1608Metric,C19702,1,OK,C19702,base,14657902,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,0.0387
10uF,"C_PD_IN1,C_PD_IN2",C_1206_3216Metric,C5449000,2,OK,C5449000,expand,171632,TCC1206X7R106K500HT,CCTC,1206,0.2966
12kΩ,R_RBIAS,R_0402_1005Metric,C114760,1,OK,C114760,expand,1173182,RC0402FR-0712KL,YAGEO,0402,0.0053
