Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
0Ω,"R_KEY,R_STOP",R_1206_3216Metric,C17888,2,OK,C17888,base,3047677,1206W4F0000T5E,1206,0.0212
0Ω,R_SHIELD,R_0603_1608Metric,C21189,1,OK,C21189,base,9624947,0603WAF0000T5E,0603,0.0026
1.2kΩ,R_ILM,R_0402_1005Metric,C25862,1,OK,C25862,expand,3392,0402WGF1201TCE,0402,0.0014
100kΩ,"R_COILENPD,R_DECDPD,R_DECUPD,R_HSG,R_MR,R_OVT,R_PG,R_SWPUA,R_SWPUB,R_SWPURHA,R_SWPURHE",R_0402_1005Metric,C25741,11,OK,C25741,base,66623,0402WGF1003TCE,0402,0.0016
100nF,"C_3V3,C_3V3A2,C_IN2,C_ULNA,C_ULNB",C_0603_1608Metric,C14663,5,OK,C14663,base,92350689,CC0603KRX7R9BB104,0603,0.0241
100nF,"C_ADCV2,C_AND1,C_AND2,C_AND3,C_COMP,C_DECD,C_DECU,C_EXP,C_FAULTAND,C_FLT0,C_FLT1,C_FLT2,C_FLT3,C_FLT4,C_FLT5,C_FLT6,C_FLT7,C_LATCHA,C_LATCHB,C_MR,C_OENAND,C_OSV,C_SCHM,C_SR1,C_SR2,C_TCAV,C_TCD,C_TCDV,C_WD",C_0402_1005Metric,C1525,29,OK,C1525,base,47523603,CL05B104KO5NNNC,0402,0.0053
100Ω,"R_TCN,R_TCP",R_0402_1005Metric,C25076,2,OK,C25076,base,1058396,0402WGF1000TCE,0402,0.0018
10kΩ,"R_BID0,R_BID1,R_DOORPU,R_ESTOPPD,R_EXPRST,R_MODEPD,R_OE,R_REF0,R_REF1,R_REF2,R_REF3,R_REF4,R_REF5,R_REF6,R_REF7,R_TEMPOK,R_TH1,R_TH2",R_0402_1005Metric,C25744,18,OK,C25744,base,12622,0402WGF1002TCE,0402,0.002
10nF,"C_TCNA,C_TCPA",C_0402_1005Metric,C15195,2,OK,C15195,base,10169509,CL05B103KB5NNNC,0402,0.0066
10uF,"C_3V3A1,C_IN1,C_KR,C_LDOIN",C_0805_2012Metric,C15850,4,OK,C15850,base,10517390,CL21A106KAYNNNE,0805,0.1394
15kΩ,R_OVB,R_0402_1005Metric,C25756,1,OK,C25756,base,1465100,0402WGF1502TCE,0402,0.0058
1MΩ,"R_HYS1,R_HYS2",R_0402_1005Metric,C26083,2,OK,C26083,base,925516,0402WGF1004TCE,0402,0.0069
1kΩ,"R_SER0,R_SER1,R_SER2,R_SER3,R_SER4,R_SER5,R_SER6,R_SER7",R_0402_1005Metric,C11702,8,OK,C11702,base,272103,0402WGF1001TCE,0402,0.0017
1nF,C_DVDT,C_0402_1005Metric,C1523,1,OK,C1523,base,5863950,0402B102K500NT,0402,0.0119
1uF,"C_ADCV,C_OS,C_SWA,C_SWB,C_SWRHA,C_SWRHE",C_0603_1608Metric,C15849,6,OK,C15849,base,15366522,CL10A105KB8NNNC,0603,0.0964
2.2kΩ,"R_SCLA,R_SCLB,R_SCLRHA,R_SCLRHE,R_SDAA,R_SDAB,R_SDARHA,R_SDARHE",R_0402_1005Metric,C25879,8,OK,C25879,base,1401706,0402WGF2201TCE,0402,0.0018
220uF,CE1,CP_Elec_6.3x7.7,C2887273,1,OK,C2887273,expand,195099,RVT220UF16V67RV0015,"SMD,D6.3xL7.7mm",0.0406
22uF,C_LDOOUT,C_0805_2012Metric,C45783,1,OK,C45783,base,2568802,CL21A226MAQNNNE,0805,0.5564
330Ω,R_OPTOLED,R_0603_1608Metric,C23138,1,OK,C23138,base,2236690,0603WAF3300T5E,0603,0.0139
33Ω,"R_LCCLK,R_LCDAT",R_0402_1005Metric,C25105,2,OK,C25105,base,184329,0402WGF330JTCE,0402,0.0067
390kΩ,R_OS,R_0402_1005Metric,C25782,1,OK,C25782,expand,14,0402WGF3903TCE,0402,0.0009
C10092,"U_SR1,U_SR2",SOIC-16_3.9x9.9mm_P1.27mm,C10092,2,OK,C10092,expand,37621,SN74HC595DR,SOIC-16,0.2141
C1017,FB1,L_0805_2012Metric,C1017,1,OK,C1017,base,568428,GZ2012D601TF,0805,0.0286
C113974,D_TVS,D_SMB,C113974,1,OK,C113974,expand,241448,SMBJ5.0A,DO-214AA(SMB),0.058
C123302,U_ONESHOT,SSOP-8_2.95x2.8mm_P0.65mm,C123302,1,OK,C123302,expand,3195,SN74LVC1G123DCTR,SSOP-8,0.6444
C125121,U_OPTO,SMDIP-4_W9.53mm,C125121,1,OK,C125121,expand,5578,LTV-817S-TA1,SMD-4P,0.1284
C15127,"Q_COIL,Q_REV,Q_SWA,Q_SWB,Q_SWRHA,Q_SWRHE",SOT-23,C15127,6,OK,C15127,base,360248,AO3401A,SOT-23,0.099
C157991,J_LOADCELL,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991,1,OK,C157991,expand,146291,B5B-XH-A(LF)(SN),"Plugin,P=2.5mm",0.0867
C16939,U_ADC,SOIC-16_3.9x9.9mm_P1.27mm,C16939,1,OK,C16939,expand,223,MCP3208-CI/SL,SOIC-16,3.5068
