Comment,Designator,Footprint,MPN,LCSC
0.15R,"R30,R31",R_1206_3216Metric,,C37936
100k gate pd,R1,R_0805_2012Metric,,C149504
100n,"C10,C12,C14,C15,C16,C17,C18,C25,C30,C31,C32,C33,C34,C35,C36,C37,C5,C8",C_0805_2012Metric,,C49678
100u,"C40,C41",CP_Elec_6.3x7.7,,C2836443
10k,"R10,R21,R23,R25,R27,R6,R8",R_0805_2012Metric,,C17414
10uH SWPA6045S,L1,L_Sunlord_SWPA6045S,,C79272
1k,"R11,R3,R7,R9",R_0805_2012Metric,,C17513
1u EN,C11,C_0805_2012Metric,,C28323
22n CP fly,C26,C_0805_2012Metric,,C1729
22u,"C19,C3,C4,C7,C9",C_0805_2012Metric,,C45783
2A polyfuse 16V,F1,Fuse_1812_4532Metric,,C20812
4.7k,"R12,R13",R_0805_2012Metric,,C17673
4.7u,"C1,C13,C2,C6",C_0805_2012Metric,,C1779
5.1k,"R4,R5",R_0805_2012Metric,,C27834
75k REXT,"R20,R22,R24,R26",R_0805_2012Metric,,C17819
AMS1117-3.3,U9,SOT-223-3_TabPin2,,C6186
AOD4185 revpol,Q1,TO-252-2,,C400894
AP63205WU-7,U8,TSOT-23-6,,C2071056
DC-005C-20A 12V,J1,DCJack_DC005_Horizontal,,
ELECTRODES INNER,J3,PinHeader_1x13_P2.54mm_Vertical,,
ELECTRODES OUTER,J4,PinHeader_1x13_P2.54mm_Vertical,,
ENDSTOP TERM,J6,TerminalBlock_3.5-2P_NoSilk,,
ESP32-S3-WROOM-1-N8R2,U1,ESP32-S3-WROOM-1,,C2913204
HOST 1x6,J8,PinHeader_1x06_P2.54mm_Vertical,,
LIS2DH12TR,U7,LGA-12_2x2mm_P0.5mm,,C110926
MOTOR NEMA17,J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,
MPR121QR2,"U3,U4,U5,U6",UQFN-20_3x3mm_P0.4mm,,C91322
SMBJ16A,D3,D_SMB,,C10211
TMC2209-LA-T,U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm,,C2150710
TS-1187A,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,,C318884
TYPE-C-31-M-12,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,C165948
USBLC6-2SC6,D1,SOT-23-6,,C2687116
green,"D2,D5",LED_0805_2012Metric,,C2297
