Comment,Designator,Footprint,MPN,LCSC
1.5uH,L1,L_FXL0630_7.0x6.6mm,FXL0630-1R5-M,C167217
100k,R1,R_0603_1608Metric,0603WAF1003T5E,C25803
100nF,"CBS1,CBS2",C_0603_1608Metric,CL10B104KB8NNNC,C1591
100uF 25V polymer,"CB1,CB2",CP_Elec_6.3x5.9,MA25V100M6x6,C46550465
10k 1%,"R3,R4",R_0603_1608Metric,0603WAF1002T5E,C25804
10uF 25V X7R,"CIN_A1,CIN_A2,CIN_C1,CIN_C2",C_1206_3216Metric,CL31B106KAHNNNE,C14860
15A,F1,Fuse_Littelfuse-NANO2-451_453,0451015.MRL,C44480
1k,"R2,R5,R6",R_0603_1608Metric,0603WAF1001T5E,C21190
2.2uF,"CVCC1,CVCC2",C_0603_1608Metric,CL10A225KO8NNNC,C23630
2.2uH,L2,L_FXL0630_7.0x6.6mm,FXL0630-2R2-M,C167218
22k 1%,"RFA1,RFC1",R_0603_1608Metric,0603WAF2202T5E,C31850
22uF 16V X7R,"COUT_A1,COUT_A2,COUT_A3,COUT_A4,COUT_C1,COUT_C2,COUT_C3,COUT_C4",C_1210_3225Metric,CL32B226KOJNNNE,C55530
3k 1%,"RFA2,RFC2",R_0603_1608Metric,0603WAF3001T5E,C4211
AOD4185,Q1,TO-252-2,AOD4185,C400894
SMBJ15A,D1,D_SMB,SMBJ15A,C83846
SY8368QNC,"U1,U2",QFN3x3-10_FC_SY8368,SY8368QNC,C125897
TYPE-C-31-M-12A,J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,TYPE-C-31-M-12A,C5337088
USB-A,"J2,J3,J4",USB_A_Stewart_SS-52100-001_Horizontal,,
USBLC6-2SC6,"U3,U4,U5,U6",SOT-23-6,USBLC6-2SC6,C7519
XT60PW-M,J1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,,
green,"LED2,LED3",LED_0805_2012Metric,KT-0805G,C2297
red,LED1,LED_0805_2012Metric,NCD0805R1,C84256
