F-ECHO — JLC's RESOLVED BOM vs OURS. After uploading bom_jlc.csv,
save JLC's own resolved/matched part table out of their UI and run
  bom_legibility_check.py <this outdir>/bom_jlc.csv --echo SAVED.csv
A code JLC redirects is a SUBSTITUTION and is a FINDING, not a
convenience. C82317 -> C131025 happened on a shipped board and no
gate in this repo could have seen it.

C25803	100kΩ	R3
C14663	100nF	C10,C7
C49066	100uF	C1
C22775	100Ω	R1,R10,R11
C25804	10kΩ	R6,R8,R9
C15850	10uF	C3,C4,C5,C6,C8,C9
C15849	1uF	C2
C4184	20kΩ	R7
C31850	22kΩ	R4,R5
C23018	3.9kΩ	R2
C22359707	CMT-8504-100-SMT-TR	LS1
C192421	OPA1678IDR	U1
C559105	SMAJ6.0A	D3
C2480	SS14	D2
C1972959	TPD2E2U06DRLR	D1
