F-ECHO — JLC's RESOLVED BOM vs OURS. After uploading bom.csv,
save JLC's own resolved/matched part table out of their UI and run
  bom_legibility_check.py <this outdir>/bom.csv --echo SAVED.csv
A code JLC redirects is a SUBSTITUTION and is a FINDING, not a
convenience. C82317 -> C131025 happened on a shipped board and no
gate in this repo could have seen it.

C207010	0603L010YR	F1
C1525	100nF	C4,C5,C6
C60490	10kΩ	R3,R4,R5,R6
C19666	4.7uF	C1,C2,C3
C105872	5.1kΩ	R1,R2
C429844	901-143-6RFX	J10,J2,J3,J4,J5,J6,J7,J8,J9
C2932107	FTSH-105-01-L-DV-K-P-TR	J11
C5121458	PE42482A-X	U1
C83270	SMBJ6.0A	D1
C5452432	STM32C011F4P6	U2
C1972959	TPD2E2U06DRLR	U4
C2866134	TPS7A2433DBVR	U3
C5184243	USB4105-GF-A-120	J1
