Comment,Designator,Footprint,LCSC,qty,status,code,type,stock,mpn,pkg,price
1.5uH,L1,L_FXL0630_7.0x6.6mm,C167217,1,OK,C167217,expand,8049,FXL0630-1R5-M,"SMD,7x6.6mm",0.1054
100k,R1,R_0603_1608Metric,C25803,1,OK,C25803,base,6645277,0603WAF1003T5E,0603,0.0021
100nF,"CBS1,CBS2",C_0603_1608Metric,C1591,2,OK,C1591,expand,9960373,CL10B104KB8NNNC,0603,0.0192
100uF 25V polymer,"CB1,CB2",CP_Elec_6.3x5.9,C46550465,2,OK,C46550465,expand,100430,MA25V100M6x6,"SMD,D6.3xL6mm",0.174
10k 1%,"R3,R4",R_0603_1608Metric,C25804,2,OK,C25804,base,28919,0603WAF1002T5E,0603,0.0078
10uF 25V X7R,"CIN_A1,CIN_A2,CIN_C1,CIN_C2",C_1206_3216Metric,C14860,4,OK,C14860,expand,780658,CL31B106KAHNNNE,1206,0.2345
15A,F1,Fuse_Littelfuse-NANO2-451_453,C44480,1,OK,C44480,expand,55648,0451015.MRL,2410,0.2505
1k,"R2,R5,R6",R_0603_1608Metric,C21190,3,OK,C21190,base,243675,0603WAF1001T5E,0603,0.0024
2.2uF,"CVCC1,CVCC2",C_0603_1608Metric,C23630,2,OK,C23630,base,4174820,CL10A225KO8NNNC,0603,0.0288
2.2uH,L2,L_FXL0630_7.0x6.6mm,C167218,1,OK,C167218,expand,87025,FXL0630-2R2-M,"SMD,7x6.6mm",0.0894
22k 1%,"RFA1,RFC1",R_0603_1608Metric,C31850,2,OK,C31850,base,885250,0603WAF2202T5E,0603,0.0023
22uF 16V X7R,"COUT_A1,COUT_A2,COUT_A3,COUT_A4,COUT_C1,COUT_C2,COUT_C3,COUT_C4",C_1210_3225Metric,C55530,8,OK,C55530,expand,29268,CL32B226KOJNNNE,1210,0.3674
3k 1%,"RFA2,RFC2",R_0603_1608Metric,C4211,2,OK,C4211,base,1433126,0603WAF3001T5E,0603,0.0087
AOD4185,Q1,TO-252-2,C400894,1,OK,C400894,expand,91517,AOD4185,TO-252(DPAK),0.429
SMBJ15A,D1,D_SMB,C83846,1,OK,C83846,expand,41480,SMBJ15A,DO-214AA,0.1312
SY8368QNC,"U1,U2",QFN3x3-10_FC_SY8368,C125897,2,OK,C125897,expand,2447,SY8368QNC,QFN-10(3x3),1.1612
TYPE-C-31-M-12A,J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C5337088,1,OK,C5337088,expand,1420,TYPE-C-31-M-12A,SMD,0.2363
USBLC6-2SC6,"U3,U4,U5,U6",SOT-23-6,C7519,4,OK,C7519,expand,33903,USBLC6-2SC6,SOT-23-6L,0.1812
green,"LED2,LED3",LED_0805_2012Metric,C2297,2,OK,C2297,base,3251424,KT-0805G,0805,0.0162
red,LED1,LED_0805_2012Metric,C84256,1,OK,C84256,base,2320107,NCD0805R1,0805,0.0133
